id,stage,parent,entry_fill,min_candle_pos,green_only,rel_vol,min_rr,early_pct,be_arm_r,trail_pct,sizing,rotation,passes,train_total_return_pct,val_total_return_pct,train_cagr,val_cagr,train_max_drawdown_pct,val_max_drawdown_pct,train_win_rate,val_win_rate,train_profit_factor,val_profit_factor,train_num_trades,val_num_trades,train_avg_holding_days,val_avg_holding_days,train_n_target_hit,val_n_target_hit,train_n_stop_hit,val_n_stop_hit
B073,B,A068,close,0.5,False,gt_1_2x20d,1.0,,1.0,12.0,fixed2L,none,False,-37.320621449958495,-5.537442243550251,-12.534542945161387,-3.7257310821345646,45.405278041856754,19.035975181345318,0.33653846153846156,0.3949579831932773,0.6306148725728187,0.8804822436292649,208,119,27.615384615384617,37.94117647058823,59,33,80,15
B074,B,A068,close,0.5,False,gt_1_2x20d,1.0,60.0,,,fixed2L,none,False,-23.27449118370204,-8.580983449616909,-7.314294943182231,-5.80447121955422,37.558767001900186,24.32886390831127,0.5327510917030568,0.5775862068965517,0.7841360960434935,0.862872087328316,229,116,24.921397379912662,41.69827586206897,7,4,106,42
B075,B,A068,close,0.5,False,gt_1_2x20d,1.0,60.0,,8.0,fixed2L,none,False,-22.213456398233355,-4.107558676108514,-6.948621901705732,-2.756849594070132,30.2108271752422,16.91849958566412,0.43790849673202614,0.4672131147540984,0.7962872066771057,0.9458143475868604,306,244,13.787581699346406,15.721311475409836,8,3,50,20
B076,B,A068,close,0.5,False,gt_1_2x20d,1.0,60.0,,12.0,fixed2L,none,False,-16.167140935017766,-1.804460516327755,-4.930059502803552,-1.2063472994784163,30.775305151174457,12.92871503548434,0.5075187969924813,0.5,0.848457080988851,0.9701121059636671,266,168,19.7406015037594,26.738095238095237,10,4,81,25
B077,B,A068,close,0.5,False,gt_1_2x20d,1.0,60.0,1.0,,fixed2L,none,False,-23.27449118370204,-8.580983449616909,-7.314294943182231,-5.80447121955422,37.558767001900186,24.32886390831127,0.5327510917030568,0.5775862068965517,0.7841360960434935,0.862872087328316,229,116,24.921397379912662,41.69827586206897,7,4,106,42
B078,B,A068,close,0.5,False,gt_1_2x20d,1.0,60.0,1.0,8.0,fixed2L,none,False,-22.213456398233355,-4.107558676108514,-6.948621901705732,-2.756849594070132,30.2108271752422,16.91849958566412,0.43790849673202614,0.4672131147540984,0.7962872066771057,0.9458143475868604,306,244,13.787581699346406,15.721311475409836,8,3,50,20
B079,B,A068,close,0.5,False,gt_1_2x20d,1.0,60.0,1.0,12.0,fixed2L,none,False,-16.167140935017766,-1.804460516327755,-4.930059502803552,-1.2063472994784163,30.775305151174457,12.92871503548434,0.5075187969924813,0.5,0.848457080988851,0.9701121059636671,266,168,19.7406015037594,26.738095238095237,10,4,81,25
B080,B,A068,close,0.5,False,gt_1_2x20d,1.0,70.0,,,fixed2L,none,False,-24.96095701863055,-5.060343063251582,-7.903010759305829,-3.4019109959883886,39.26908773376432,17.251900140576517,0.4790697674418605,0.5567010309278351,0.7636802117857391,0.9070184325264052,215,97,28.441860465116278,50.74226804123711,10,3,111,35
B081,B,A068,close,0.5,False,gt_1_2x20d,1.0,70.0,,8.0,fixed2L,none,False,-26.302008425671907,0.3953855778095372,-8.37792166018797,0.26335682497029556,33.18118217597998,15.69417826259043,0.3924914675767918,0.4260089686098655,0.757514550278285,1.004074438845784,293,223,15.095563139931741,17.242152466367713,11,4,48,16
B082,B,A068,close,0.5,False,gt_1_2x20d,1.0,70.0,,12.0,fixed2L,none,False,-26.854309966801072,-3.3928174501679176,-8.575302844143728,-2.2743523500063367,37.57529294633063,15.749001017855901,0.44621513944223107,0.4583333333333333,0.7580075406820069,0.9391329745547592,251,144,22.0199203187251,29.680555555555557,13,5,85,19
